id,equipment_id,maintenance_type,description,duration_hours,labor_cost,material_cost,total_cost,health_score_before,health_score_after,technician,performed_at
mh0074,eq010,preventive,Oil change and lubrication,2.7,1227.07,1510.1,3264.39,55.34,77.12,TECH006,2026-04-14T16:16:37.227549
mh0075,eq021,corrective,System reset and calibration,6.1,912.21,1832.41,4191.64,75.52,100,TECH001,2025-05-10T16:16:37.227549
mh0076,eq013,emergency,Oil change and lubrication,4.9,922.46,859.86,3497.32,48.97,78.67,TECH001,2025-12-07T16:16:37.227549
mh0077,eq034,emergency,Oil change and lubrication,5.0,619.9,394.6,4295.32,75.06,90.18,TECH001,2025-07-09T16:16:37.227549
mh0078,eq007,emergency,System reset and calibration,4.1,882.82,1451.35,3410.34,44.63,63.52,TECH005,2024-08-21T16:16:37.227549
mh0079,eq017,emergency,Emergency repair,5.8,1547.06,1817.52,2899.81,66.47,89.72,TECH010,2025-05-24T16:16:37.227549
mh0080,eq031,preventive,Emergency repair,2.0,1157.48,1141.66,1567.19,51.31,77.0,TECH012,2026-03-30T16:16:37.227549
mh0081,eq031,preventive,Full inspection,3.0,506.84,1408.94,4599.58,51.81,62.6,TECH014,2025-06-04T16:16:37.227549
mh0082,eq005,emergency,Oil change and lubrication,5.9,753.23,660.61,1693.99,66.76,79.74,TECH005,2024-12-18T16:16:37.227549
mh0083,eq011,preventive,System reset and calibration,3.2,2191.92,966.79,1198.37,58.57,70.57,TECH014,2025-10-31T16:16:37.227549
mh0084,eq041,preventive,System reset and calibration,3.2,1594.29,1319.25,4477.44,40.39,53.15,TECH002,2026-06-12T16:16:37.227549
mh0085,eq025,corrective,Full inspection,2.5,1464.29,1731.21,4139.57,72.6,86.26,TECH011,2025-07-12T16:16:37.227549
mh0086,eq003,preventive,Oil change and lubrication,3.6,1976.88,1644.08,3617.09,44.52,68.45,TECH003,2026-02-08T16:16:37.227549
mh0087,eq001,emergency,Component replacement,4.1,1720.31,1797.67,2594.96,55.19,72.36,TECH002,2024-11-10T16:16:37.227549
mh0088,eq043,emergency,Emergency repair,5.9,1059.96,1920.37,4454.52,66.2,76.45,TECH009,2025-11-03T16:16:37.227549
mh0089,eq027,emergency,Component replacement,4.1,2159.28,1354.53,1339.21,67.53,89.89,TECH014,2025-02-08T16:16:37.227549
mh0090,eq000,emergency,Component replacement,4.3,1673.22,1092.5,1411.24,75.68,97.94,TECH013,2025-01-03T16:16:37.227549
mh0091,eq017,preventive,Emergency repair,2.2,2108.29,925.9,1710.5,52.83,69.44,TECH008,2025-03-12T16:16:37.227549
mh0092,eq031,corrective,System reset and calibration,1.4,1743.43,1376.07,1141.37,72.05,91.01,TECH007,2025-04-30T16:16:37.227549
mh0093,eq005,emergency,Emergency repair,5.3,2725.28,1212.2,3514.76,62.29,72.29,TECH008,2026-06-22T16:16:37.228555
mh0094,eq014,corrective,System reset and calibration,4.7,2049.39,1051.64,3525.82,54.53,65.62,TECH012,2025-08-13T16:16:37.228555
mh0095,eq014,preventive,System reset and calibration,3.2,2084.15,1639.84,3055.07,44.56,69.75,TECH006,2025-04-21T16:16:37.228555
mh0096,eq031,preventive,Full inspection,1.3,2027.13,537.58,4699.93,44.25,72.19,TECH007,2024-08-09T16:16:37.228555
mh0097,eq045,corrective,Oil change and lubrication,6.2,616.25,1339.83,3590.21,58.28,83.91,TECH002,2025-12-20T16:16:37.228555
mh0098,eq032,preventive,Full inspection,0.5,2340.53,1195.81,2561.08,58.3,80.08,TECH010,2025-04-23T16:16:37.228555
mh0099,eq011,emergency,Emergency repair,1.8,2538.11,386.4,3527.34,76.97,100,TECH010,2025-03-21T16:16:37.228555
mh0100,eq038,emergency,Component replacement,2.6,2908.98,1946.88,2647.24,60.16,77.86,TECH003,2025-09-02T16:16:37.228555
mh0101,eq047,emergency,System reset and calibration,6.8,1869.51,765.04,3868.32,56.51,80.51,TECH009,2026-03-09T16:16:37.228555
mh0102,eq045,corrective,System reset and calibration,7.4,831.68,1478.71,4893.27,48.69,62.89,TECH003,2024-10-19T16:16:37.228555
mh0103,eq045,preventive,System reset and calibration,4.7,1957.02,1896.81,3753.53,61.7,84.44,TECH011,2025-02-28T16:16:37.228555
mh0104,eq000,emergency,Oil change and lubrication,0.7,863.32,1406.46,1559.58,51.44,78.38,TECH013,2025-01-28T16:16:37.228555
mh0105,eq009,preventive,System reset and calibration,2.0,1852.93,845.63,2646.16,79.34,100,TECH010,2026-02-14T16:16:37.228555
mh0106,eq047,emergency,Emergency repair,3.4,1777.31,1634.3,3693.35,69.58,96.88,TECH012,2024-09-05T16:16:37.228555
mh0107,eq026,emergency,System reset and calibration,7.7,634.51,1538.61,1573.28,41.88,59.51,TECH014,2024-09-16T16:16:37.228555
mh0108,eq045,emergency,System reset and calibration,6.2,1866.54,1286.1,4037.43,73.2,100,TECH004,2025-05-01T16:16:37.228555
mh0109,eq004,preventive,Component replacement,6.0,798.38,273.14,1900.18,57.95,87.62,TECH005,2025-09-30T16:16:37.228555
mh0110,eq000,corrective,Full inspection,5.8,887.01,476.67,2087.31,46.44,73.36,TECH001,2026-03-17T16:16:37.228555
mh0111,eq031,emergency,Emergency repair,3.2,2460.08,772.15,1645.84,64.62,87.86,TECH003,2024-10-26T16:16:37.228555
mh0112,eq026,emergency,Emergency repair,3.5,1373.51,1790.11,3552.34,42.73,62.83,TECH006,2025-02-10T16:16:37.228555
mh0113,eq039,emergency,Full inspection,8.0,2559.22,1966.04,737.86,51.74,80.75,TECH011,2025-07-24T16:16:37.228555
mh0114,eq039,emergency,Component replacement,7.7,2206.38,777.69,4638.51,57.83,85.92,TECH002,2025-08-08T16:16:37.228555
mh0115,eq001,emergency,System reset and calibration,4.4,1771.84,1076.25,1974.67,50.26,74.74,TECH011,2025-06-28T16:16:37.228555
mh0116,eq006,preventive,Emergency repair,4.5,2067.33,579.41,3406.91,52.81,64.46,TECH004,2026-01-12T16:16:37.228555
mh0117,eq034,emergency,Full inspection,5.3,2849.38,1544.4,1361.14,56.97,69.05,TECH008,2024-08-26T16:16:37.228555
mh0118,eq011,corrective,Emergency repair,1.0,2554.05,1839.78,2452.82,41.52,52.98,TECH008,2025-08-23T16:16:37.228555
mh0119,eq024,emergency,Oil change and lubrication,4.5,2103.56,1313.03,3950.63,56.18,72.51,TECH010,2024-10-21T16:16:37.228555
mh0120,eq032,preventive,System reset and calibration,6.4,1253.38,355.71,3990.68,68.04,79.49,TECH008,2026-06-12T16:16:37.228555
mh0121,eq030,preventive,Emergency repair,2.1,2366.88,1634.19,4352.71,55.8,79.02,TECH005,2025-07-03T16:16:37.228555
mh0122,eq046,emergency,System reset and calibration,7.7,527.88,1774.58,1307.91,45.76,69.31,TECH001,2024-10-17T16:16:37.228555
mh0123,eq035,preventive,System reset and calibration,2.1,2353.58,1506.69,1610.47,62.91,80.79,TECH015,2026-07-23T16:16:37.228555
mh0124,eq011,preventive,Emergency repair,6.8,985.82,526.44,4138.54,74.06,86.91,TECH014,2024-10-05T16:16:37.228555
mh0125,eq035,corrective,Emergency repair,1.0,2179.21,651.24,1548.9,74.06,100,TECH010,2026-06-03T16:16:37.228555
mh0126,eq042,emergency,Component replacement,1.3,2048.79,1820.21,2066.48,78.06,95.2,TECH008,2025-03-17T16:16:37.228555
mh0127,eq037,preventive,Emergency repair,4.8,2519.25,1925.59,1425.15,64.65,80.77,TECH006,2025-08-26T16:16:37.228555
mh0128,eq041,corrective,System reset and calibration,6.8,835.76,1519.35,4474.91,71.43,95.67,TECH008,2025-11-18T16:16:37.228555
mh0129,eq035,preventive,Component replacement,5.3,704.93,705.11,4253.71,54.35,70.46,TECH015,2025-04-28T16:16:37.228555
mh0130,eq040,preventive,Oil change and lubrication,7.2,2623.97,1336.93,4194.36,47.86,72.53,TECH010,2025-01-23T16:16:37.228555
mh0131,eq002,emergency,System reset and calibration,4.6,2996.82,1049.79,4033.35,70.77,85.02,TECH006,2025-06-09T16:16:37.228555
mh0132,eq046,corrective,Component replacement,4.0,1776.03,914.21,2859.32,48.93,74.38,TECH011,2025-06-22T16:16:37.228555
mh0133,eq039,emergency,Component replacement,6.2,850.93,486.6,3135.34,73.92,100,TECH010,2025-11-26T16:16:37.228555
mh0134,eq046,corrective,System reset and calibration,0.8,2403.68,617.15,1836.74,74.89,87.81,TECH004,2024-09-21T16:16:37.228555
mh0135,eq023,corrective,Full inspection,7.4,2703.88,271.83,3488.66,66.74,87.1,TECH002,2026-06-15T16:16:37.228555
mh0136,eq017,emergency,System reset and calibration,4.8,1925.4,877.99,2327.63,78.74,100,TECH010,2024-08-07T16:16:37.228555
mh0137,eq016,corrective,Component replacement,4.4,1382.25,1761.89,2793.5,75.93,87.49,TECH008,2024-09-27T16:16:37.228555
mh0138,eq028,preventive,Component replacement,1.1,2108.69,580.73,1503.69,40.26,67.9,TECH006,2024-11-17T16:16:37.228555
mh0139,eq014,corrective,System reset and calibration,5.9,1703.79,1061.87,1606.03,68.69,81.06,TECH003,2024-11-19T16:16:37.228555
mh0140,eq002,preventive,Emergency repair,4.9,836.81,1122.76,4530.43,73.33,83.78,TECH003,2024-10-04T16:16:37.228555
mh0141,eq033,corrective,Emergency repair,7.8,2094.06,1781.32,3830.29,46.65,75.1,TECH014,2026-06-01T16:16:37.228555
mh0142,eq038,corrective,Full inspection,1.8,2575.91,1281.51,4116.85,77.89,92.22,TECH014,2025-10-11T16:16:37.228555
mh0143,eq010,emergency,System reset and calibration,7.4,1991.33,323.92,2326.31,64.93,85.14,TECH003,2026-01-23T16:16:37.228555
mh0144,eq032,emergency,Full inspection,6.7,2013.78,519.36,4576.92,40.66,61.12,TECH010,2026-04-08T16:16:37.228555
mh0145,eq048,preventive,Oil change and lubrication,4.1,825.82,1286.25,4258.34,75.11,95.74,TECH015,2026-06-19T16:16:37.228555
mh0146,eq023,preventive,Emergency repair,3.7,2846.05,1067.82,4005.29,65.97,86.41,TECH006,2024-09-02T16:16:37.228555
mh0147,eq044,emergency,Oil change and lubrication,3.7,1136.3,1578.55,4613.37,72.18,100,TECH002,2024-12-02T16:16:37.228555
mh0148,eq016,preventive,Oil change and lubrication,5.8,2473.56,1240.38,1206.66,63.93,84.81,TECH001,2025-10-11T16:16:37.228555
mh0149,eq020,corrective,System reset and calibration,1.3,1565.18,1253.67,1823.6,66.18,89.94,TECH009,2025-07-09T16:16:37.228555
mh0150,eq043,corrective,Component replacement,3.6,2459.47,1068.44,2291.92,62.59,84.82,TECH009,2025-05-21T16:16:37.228555
mh0151,eq022,emergency,Full inspection,6.0,2637.5,1386.71,3915.6,50.15,66.28,TECH008,2025-03-20T16:16:37.228555
mh0152,eq032,corrective,System reset and calibration,6.5,2035.06,1432.22,923.83,77.97,89.98,TECH007,2024-08-11T16:16:37.228555
mh0153,eq009,corrective,Emergency repair,3.8,660.2,599.19,1044.17,40.21,52.03,TECH001,2024-10-15T16:16:37.228555
mh0154,eq041,emergency,System reset and calibration,5.8,1993.68,1902.29,4226.98,77.23,95.24,TECH011,2025-06-30T16:16:37.228555
mh0155,eq042,emergency,System reset and calibration,2.0,2459.9,1118.99,3703.33,57.56,71.59,TECH010,2025-03-09T16:16:37.228555
mh0156,eq041,preventive,Component replacement,1.2,1189.84,918.98,3579.55,66.96,84.16,TECH007,2026-02-05T16:16:37.228555
mh0157,eq045,preventive,Oil change and lubrication,4.6,2315.35,1206.4,3206.61,48.01,58.32,TECH006,2024-12-05T16:16:37.228555
mh0158,eq029,corrective,Emergency repair,0.5,937.59,1111.23,3102.11,49.05,78.31,TECH009,2025-10-18T16:16:37.228555
mh0159,eq032,corrective,Emergency repair,6.6,1937.23,1449.55,4854.04,53.6,65.94,TECH010,2025-09-30T16:16:37.228555
mh0160,eq049,corrective,Full inspection,7.2,2655.06,1067.55,1808.62,70.8,95.95,TECH007,2025-03-20T16:16:37.228555
mh0161,eq044,preventive,System reset and calibration,3.6,1382.74,1164.17,3713.52,71.55,85.95,TECH005,2024-10-18T16:16:37.228555
mh0162,eq047,corrective,Oil change and lubrication,4.7,946.21,764.97,1639.83,51.49,69.47,TECH010,2025-11-16T16:16:37.229551
mh0163,eq012,corrective,Component replacement,2.3,1105.14,677.73,1685.59,47.31,72.23,TECH014,2025-10-26T16:16:37.229551
mh0164,eq049,preventive,Oil change and lubrication,7.4,2189.53,1394.16,3339.46,73.45,90.57,TECH013,2025-11-15T16:16:37.229551
mh0165,eq023,emergency,System reset and calibration,4.2,2963.4,1814.6,4435.71,78.32,100,TECH008,2025-01-20T16:16:37.229551
mh0166,eq017,corrective,Component replacement,6.1,820.61,1146.32,2519.66,79.38,100,TECH009,2026-01-22T16:16:37.229551
mh0167,eq043,preventive,Full inspection,7.8,2245.61,1028.13,3663.61,60.1,77.97,TECH001,2026-06-25T16:16:37.229551
mh0168,eq020,corrective,Emergency repair,7.0,967.88,673.13,1858.46,48.43,70.05,TECH010,2024-09-06T16:16:37.229551
mh0169,eq013,corrective,System reset and calibration,3.2,1501.48,1011.31,3157.06,54.64,74.61,TECH010,2025-08-11T16:16:37.229551
mh0170,eq017,preventive,Emergency repair,3.7,1452.21,462.52,4824.34,49.14,61.14,TECH003,2024-08-25T16:16:37.229551
mh0171,eq031,preventive,Emergency repair,4.5,1289.32,1075.92,1779.19,72.23,85.76,TECH014,2025-03-31T16:16:37.229551
mh0172,eq010,preventive,Component replacement,6.6,1691.35,1333.75,2634.38,41.91,53.89,TECH006,2024-12-24T16:16:37.229551
mh0173,eq016,corrective,Oil change and lubrication,3.6,1377.73,1423.25,3303.98,54.44,75.65,TECH010,2025-11-04T16:16:37.229551
mh0174,eq049,corrective,System reset and calibration,2.9,1776.11,1594.54,2621.8,65.99,86.76,TECH002,2024-12-16T16:16:37.229551
mh0175,eq009,preventive,System reset and calibration,3.7,2030.78,928.59,4600.41,64.55,83.82,TECH002,2025-07-03T16:16:37.229551
mh0176,eq041,corrective,System reset and calibration,5.0,1488.64,1797.85,4058.19,53.75,70.01,TECH006,2026-02-13T16:16:37.229551
mh0177,eq010,preventive,Oil change and lubrication,1.4,1086.57,652.96,3898.66,60.84,79.84,TECH012,2024-12-04T16:16:37.229551
mh0178,eq006,preventive,Full inspection,4.6,565.91,914.62,3989.48,48.42,66.36,TECH002,2026-05-08T16:16:37.229551
mh0179,eq041,corrective,System reset and calibration,2.2,2343.98,997.69,1243.57,50.5,63.6,TECH009,2026-04-13T16:16:37.229551
mh0180,eq020,corrective,Full inspection,7.8,1851.46,690.35,2612.83,41.14,64.41,TECH012,2026-02-04T16:16:37.229551
mh0181,eq040,emergency,Emergency repair,3.8,2099.47,1160.81,4608.37,47.08,69.03,TECH008,2025-01-22T16:16:37.229551
mh0182,eq019,corrective,Full inspection,2.4,1258.93,200.17,4206.13,49.09,60.88,TECH014,2025-01-22T16:16:37.229551
mh0183,eq000,emergency,Full inspection,7.6,1692.67,216.44,2550.87,53.76,73.14,TECH005,2026-03-11T16:16:37.229551
mh0184,eq023,preventive,Full inspection,7.1,1592.77,649.81,3774.23,49.25,59.39,TECH011,2024-11-24T16:16:37.229551
mh0185,eq005,corrective,Component replacement,4.4,2499.9,1303.79,3683.88,73.14,87.55,TECH005,2025-06-24T16:16:37.229551
mh0186,eq017,corrective,Component replacement,6.9,956.02,721.27,3438.64,65.94,86.58,TECH010,2025-10-10T16:16:37.229551
mh0187,eq012,corrective,Oil change and lubrication,1.6,2924.29,239.84,4881.03,50.89,73.34,TECH005,2025-04-21T16:16:37.229551
mh0188,eq000,preventive,Oil change and lubrication,1.6,1733.95,815.44,2039.78,45.0,63.77,TECH013,2025-10-26T16:16:37.229551
mh0189,eq002,corrective,Oil change and lubrication,6.8,2879.11,300.87,4035.31,79.92,99.19,TECH002,2025-03-05T16:16:37.229551
mh0190,eq016,corrective,Oil change and lubrication,1.4,2420.36,648.13,4016.27,58.81,72.65,TECH008,2025-01-18T16:16:37.229551
mh0191,eq029,emergency,Oil change and lubrication,4.4,2955.29,1051.09,3630.2,69.5,80.17,TECH005,2025-11-17T16:16:37.229551
mh0192,eq047,emergency,Emergency repair,1.4,1703.07,737.86,2249.83,46.34,70.91,TECH001,2025-09-01T16:16:37.229551
mh0193,eq040,corrective,System reset and calibration,0.6,2485.98,1252.45,2401.98,48.71,60.97,TECH004,2024-09-14T16:16:37.229551
mh0194,eq044,corrective,Emergency repair,1.7,2426.99,647.7,2849.65,78.75,100,TECH011,2026-07-19T16:16:37.229551
mh0195,eq048,emergency,Oil change and lubrication,0.9,2111.44,1462.39,4103.3,53.54,82.93,TECH003,2024-11-02T16:16:37.229551
mh0196,eq041,corrective,Full inspection,6.0,553.38,879.98,3814.92,49.31,78.94,TECH005,2025-03-16T16:16:37.229551
mh0197,eq018,emergency,Full inspection,1.9,966.57,825.8,3849.33,59.41,78.16,TECH005,2026-06-18T16:16:37.229551
mh0198,eq004,emergency,Component replacement,3.9,2548.55,1174.89,2652.54,76.58,97.67,TECH013,2024-11-22T16:16:37.229551
mh0199,eq001,emergency,System reset and calibration,6.3,1096.97,1497.81,3530.64,60.24,84.91,TECH009,2024-10-13T16:16:37.229551
mh0200,eq049,emergency,Component replacement,5.1,1306.5,1353.63,1175.0,47.59,71.26,TECH009,2025-06-27T16:16:37.229551
mh0201,eq008,preventive,Oil change and lubrication,2.0,1713.43,377.76,3155.35,42.67,69.37,TECH014,2024-09-22T16:16:37.229551
mh0202,eq044,emergency,System reset and calibration,0.9,1051.81,1492.12,756.27,66.32,86.83,TECH015,2025-06-26T16:16:37.229551
mh0203,eq005,corrective,Oil change and lubrication,3.2,2358.69,1802.78,4234.71,66.23,94.8,TECH013,2025-12-27T16:16:37.229551
